"CubeId";"snbmonagg"
"PublishingDate";"2026-07-21 09:00"

"Date";"D0";"D1";"Value"
"2013-03";"B";"GM1";"537862"
"2013-03";"VV";"GM1";"12.0436124"
"2013-04";"B";"GM1";"546452"
"2013-04";"VV";"GM1";"12.99692514"
"2013-05";"B";"GM1";"546521"
"2013-05";"VV";"GM1";"12.09376545"
"2013-06";"B";"GM1";"538865"
"2013-06";"VV";"GM1";"8.08016383"
"2013-07";"B";"GM1";"546948"
"2013-07";"VV";"GM1";"7.27920351"
"2013-08";"B";"GM1";"554359"
"2013-08";"VV";"GM1";"6.98565314"
"2013-09";"B";"GM1";"550480"
"2013-09";"VV";"GM1";"5.44543455"
"2013-10";"B";"GM1";"554396"
"2013-10";"VV";"GM1";"5.19389097"
"2013-11";"B";"GM1";"560324"
"2013-11";"VV";"GM1";"5.40569012"
"2013-12";"B";"GM1";"554429"
"2013-12";"VV";"GM1";"3.26081491"
"2014-01";"B";"GM1";"561178"
"2014-01";"VV";"GM1";"4.8679942"
"2014-02";"B";"GM1";"563047"
"2014-02";"VV";"GM1";"4.78607187"
"2014-03";"B";"GM1";"566449"
"2014-03";"VV";"GM1";"5.31493208"
"2014-04";"B";"GM1";"567210"
"2014-04";"VV";"GM1";"3.7986868"
"2014-05";"B";"GM1";"568846"
"2014-05";"VV";"GM1";"4.08492995"
"2014-06";"B";"GM1";"563697"
"2014-06";"VV";"GM1";"4.60820428"
"2014-07";"B";"GM1";"566309"
"2014-07";"VV";"GM1";"3.53982463"
"2014-08";"B";"GM1";"569187"
"2014-08";"VV";"GM1";"2.67480099"
"2014-09";"B";"GM1";"565481"
"2014-09";"VV";"GM1";"2.7250763"
"2014-10";"B";"GM1";"570091"
"2014-10";"VV";"GM1";"2.83100888"
"2014-11";"B";"GM1";"577389"
"2014-11";"VV";"GM1";"3.04555935"
"2014-12";"B";"GM1";"567209"
"2014-12";"VV";"GM1";"2.30507423"
"2015-01";"B";"GM1";"566951"
"2015-01";"VV";"GM1";"1.02872885"
"2015-02";"B";"GM1";"567887"
"2015-02";"VV";"GM1";"0.85960852"
"2015-03";"B";"GM1";"572826"
"2015-03";"VV";"GM1";"1.12578538"
"2015-04";"B";"GM1";"566532"
"2015-04";"VV";"GM1";"-0.11953245"
"2015-05";"B";"GM1";"568534"
